SKU_ID,Product_Name,Category,Pack_Size_g_ml,MRP,Selling_Price,Current_Inventory,Days_Until_Expiry,Days_In_Warehouse,Sales_Last_7_Days,Sales_Last_30_Days,Storage_Space_Used_Liters,Was_Discounted,Discount_Percentage,Sold_Before_Expiry,Seasonal_Demand_Flag
7225e7e6,Nilkamal Drawer,Plasticware & Storage,1000,511.66,485.44,691,999,72,133,420,25696.93,True,26.35,True,False
dd24eb25,Bingo Chips,Snacks & Packaged Foods,500,1178.46,1119.66,696,20,63,158,224,9657.78,False,0.0,True,False
fd158bb1,Pril Liquid,Home Cleaning,500,198.51,158.13,678,999,67,326,894,12939.23,True,23.4,True,True
736e0536,Patanjali Soap,Personal Care,5000,1012.62,948.17,116,999,29,48,81,16710.11,True,16.89,True,False
e2833b6c,Lay's Salted,Snacks & Packaged Foods,1500,307.75,259.93,650,30,74,64,284,10666.62,True,18.11,True,True
f3d9bde3,Red Bull,Beverages,50,757.67,660.78,236,24,35,135,189,301.03,False,0.0,True,True
17604991,Milky Mist Cream,Dairy & Eggs,100,742.59,740.85,413,16,25,371,681,474.6,False,0.0,True,True
889c2d69,Daawat Brown Rice,Staples & Dry Goods,1500,728.35,525.2,473,4,105,274,347,7784.48,True,19.35,True,True
a42984cb,HomePuff Tiffin Box,Plasticware & Storage,50,949.15,821.19,681,999,26,86,240,438.5,True,5.01,True,True
14ad5aeb,Saffola Oats,Staples & Dry Goods,50,751.45,564.33,160,1,32,48,75,317.39,True,16.26,True,True
abe13200,Colgate Toothpaste,Personal Care,5000,641.45,605.7,285,999,42,87,170,38379.3,True,14.17,True,True
ed2ceb84,Exo Dishwash Liquid,Home Cleaning,200,529.64,510.49,106,999,67,73,83,247.88,True,35.8,True,True
97d65a65,Kurkure Chilli Chatka,Snacks & Packaged Foods,50,1063.69,860.03,66,29,6,29,76,121.39,False,0.0,True,True
19d6e6e1,Exo Dishwash Liquid,Home Cleaning,100,41.1,31.19,765,999,92,372,407,2481.54,True,27.46,True,True
4b091eae,Real Mixed Fruit,Beverages,500,774.22,604.89,359,24,6,135,245,3569.64,False,0.0,True,False
1611bf44,HomePuff Tiffin Box,Plasticware & Storage,100,940.69,835.4,600,999,77,437,551,1116.88,False,0.0,True,True
e96ac7e4,Saffola Oats,Staples & Dry Goods,200,1199.13,979.96,311,28,21,8,100,818.8,False,0.0,True,True
8eab7559,Saffola Oats,Staples & Dry Goods,2000,1169.11,996.99,153,4,72,115,134,8704.16,True,18.36,True,False
d287f667,Fortune Biryani Rice,Staples & Dry Goods,100,418.26,279.85,434,19,50,395,706,640.16,False,0.0,True,True
5981cd43,Signoraware Spice Rack,Plasticware & Storage,100,400.68,378.76,418,999,109,123,350,1655.61,True,27.58,True,True
60369d36,Tupperware Container,Plasticware & Storage,200,114.08,81.37,495,999,4,378,470,2650.03,False,0.0,True,False
bbde634b,Pigeon Feeding Bottle,Baby & Kids,2000,613.6,612.27,454,22,43,329,378,12346.84,True,20.56,True,False
a8f395dc,Milky Mist Cream,Dairy & Eggs,200,89.12,74.75,417,17,73,152,235,2587.18,False,0.0,True,False
92891e07,Cello Water Bottle,Plasticware & Storage,200,436.07,400.51,324,999,51,189,403,2391.91,False,0.0,True,True
